PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Xertica | Partner Engineer: Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Tier 3 ➔ Tier 2,13,5,0,18,12,72.2%,27.8%,0.0%,Artificial Intelligence,Gemini Enterprise Agent Platform,🔥 High,P20220428035,Active Progression
Tier 2 ➔ Tier 1,1,4,0,5,3,20.0%,80.0%,0.0%,Data & Analytics,Dataflow,🚀 Steady,P20220428035,Active Progression
TOTAL DRP TIER PROMOTIONS,37,22,6,65,35,56.9%,33.8%,9.2%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Apigee API Management,1,0,0,1,1,0,0,1,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Cloud Run,1,0,0,1,0,1,0,1,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Google Kubernetes Engine,2,1,0,3,2,1,0,2,P20220428035,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,AI Applications,1,2,1,4,3,1,0,4,P20220428035,🚀 Steady Growth (3-9),Tier 3 ➔ Tier 2,Active
Artificial Intelligence,GECX - CX Agent Studio,1,0,0,1,0,0,1,1,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,12,4,1,17,11,3,3,15,P20220428035,🔥 High Velocity (10+),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,8,7,0,15,10,5,0,11,P20220428035,🔥 High Velocity (10+),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,2,0,1,3,1,2,0,3,P20220428035,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,Dataflow,1,0,1,2,2,0,0,2,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,Looker,1,1,0,2,0,2,0,2,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Databases,Cloud SQL,2,0,0,2,1,1,0,2,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud Networking,2,0,0,2,2,0,0,2,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud VMware Engine,1,1,0,2,0,2,0,2,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Compute Engine,3,2,1,6,4,1,1,4,P20220428035,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Security,Cloud Security,1,0,0,1,0,0,1,1,P20220428035,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Workspace,Workspace,3,0,0,3,0,3,0,2,P20220428035,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
TOTAL,-,42,18,5,65,37,22,6,35,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
XERJGLKI5,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,July,2026-07-01,14.0,29.0,+15.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERJGLKI5,Infrastructure Modernization,Google Compute Engine,Tier 3 ➔ Tier 2,July,2026-07-02,29.0,39.0,+10.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERASHOI9,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-03,15.0,25.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERASHOI9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-04,15.0,25.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERCCNJB0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-04,18.0,23.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERDGOWT3,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-08,11.0,21.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERED33R0,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,July,2026-07-08,17.0,22.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Data & Analytics,Dataflow,Tier 2 ➔ Tier 1,July,2026-07-08,48.0,53.0,+5.0,Tier 2,Tier 1,P20220428035,Tier Upgrade,Promoted
XERED33R0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-09,32.0,37.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERLBPPH5,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-09,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLBPPH5,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,July,2026-07-09,19.0,29.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERKRKDR1,Data & Analytics,Dataflow,Tier 4 ➔ Tier 3,July,2026-07-11,13.0,23.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-12,33.0,38.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERWREMQ0,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,July,2026-07-15,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERASHOI9,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-15,30.0,35.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XEREGWNC8,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-15,26.0,46.0,+20.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERKRKDR1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-15,18.0,23.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERJHHIO4,Application Modernization,Apigee API Management,Tier 4 ➔ Tier 3,July,2026-07-16,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERACAXX4,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-16,16.0,21.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERKMHOW2,Artificial Intelligence,AI Applications,Tier 3 ➔ Tier 2,July,2026-07-17,34.0,39.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERMGNZH0,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-17,15.0,30.0,+15.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERKMHOW2,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-17,34.0,44.0,+10.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERMGNZH0,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-18,30.0,40.0,+10.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,July,2026-07-21,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERMGNZH0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-21,15.0,30.0,+15.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERJBDRX5,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-22,15.0,25.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,July,2026-07-22,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLCRIA1,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,July,2026-07-23,17.0,22.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERMGNZH0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-24,30.0,35.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Infrastructure Modernization,Google Compute Engine,Tier 3 ➔ Tier 2,July,2026-07-24,34.0,39.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERCCNJB0,Artificial Intelligence,AI Applications,Tier 3 ➔ Tier 2,July,2026-07-25,33.0,38.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERCCNJB0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-25,33.0,43.0,+10.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERMPPTG4,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,July,2026-07-25,15.0,20.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERJBDRX5,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-26,15.0,25.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERCPOVD8,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-26,19.0,29.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLCRIA1,Databases,Cloud SQL,Tier 4 ➔ Tier 3,July,2026-07-26,17.0,22.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERJBDRX5,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-28,25.0,40.0,+15.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Infrastructure Modernization,Google Compute Engine,Tier 2 ➔ Tier 1,August,2026-08-04,49.0,54.0,+5.0,Tier 2,Tier 1,P20220428035,Tier Upgrade,Promoted
XERDAWGN8,Workspace,Workspace,Tier 4 ➔ Tier 3,August,2026-08-06,15.0,25.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Application Modernization,Google Kubernetes Engine,Tier 3 ➔ Tier 2,August,2026-08-08,34.0,39.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERGFEFG0,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,August,2026-08-11,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERJCFJQ9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-12,30.0,35.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERASHOI9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-13,25.0,35.0,+10.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XERMP58P0,Infrastructure Modernization,Google Cloud VMware Engine,Tier 3 ➔ Tier 2,August,2026-08-13,34.0,39.0,+5.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XEROCDXS3,Infrastructure Modernization,Google Cloud VMware Engine,Tier 4 ➔ Tier 3,August,2026-08-13,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERAGBFN5,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-14,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERDAWGN8,Workspace,Workspace,Tier 4 ➔ Tier 3,August,2026-08-14,15.0,25.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XEREGCHH9,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,August,2026-08-15,14.0,24.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XEREGCHH9,Artificial Intelligence,AI Applications,Tier 2 ➔ Tier 1,August,2026-08-15,49.0,64.0,+15.0,Tier 2,Tier 1,P20220428035,Tier Upgrade,Promoted
XEREGCHH9,Data & Analytics,Looker,Tier 3 ➔ Tier 2,August,2026-08-15,29.0,39.0,+10.0,Tier 3,Tier 2,P20220428035,Tier Upgrade,Promoted
XEREGCHH9,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,August,2026-08-15,49.0,69.0,+20.0,Tier 2,Tier 1,P20220428035,Tier Upgrade,Promoted
XERHLSFQ0,Data & Analytics,Looker,Tier 4 ➔ Tier 3,August,2026-08-15,16.0,21.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERASAQN1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-17,10.0,20.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERLYKQH7,Databases,Cloud SQL,Tier 4 ➔ Tier 3,August,2026-08-19,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERATNDG3,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-20,13.0,33.0,+20.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERAGBFN5,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-20,14.0,24.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERATNDG3,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-20,13.0,23.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERCCATZ1,Workspace,Workspace,Tier 4 ➔ Tier 3,August,2026-08-20,18.0,28.0,+10.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERHSM010,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-28,49.0,54.0,+5.0,Tier 2,Tier 1,P20220428035,Tier Upgrade,Promoted
XERIBTXC7,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,19.0,34.0,+15.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERKG5ZN0,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-04,18.0,23.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERAGBFN5,Security,Cloud Security,Tier 4 ➔ Tier 3,September,2026-09-05,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERZBLDL8,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,September,2026-09-08,18.0,23.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERABOAK2,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-10,15.0,20.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
XERPJDLW8,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-15,19.0,24.0,+5.0,Tier 4,Tier 3,P20220428035,Tier Upgrade,Promoted
