PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: SantoDigital | Partner Engineer: Thiago da Ponte | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Infrastructure Modernization,Google Distributed Cloud,1,0,0,1,0,1,0,1,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Oracle,0,1,0,1,1,0,0,1,P20220602085,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Infrastructure Modernization,SAP on Google Cloud,1,0,0,1,0,1,0,1,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Security,Cloud Security,3,1,0,4,1,3,0,4,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Security,Security Command Center,2,2,0,4,2,2,0,4,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Security,Security Operations,2,0,0,2,2,0,0,2,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Workspace,Workspace,5,1,0,6,3,1,2,6,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
TOTAL,-,72,45,17,134,54,58,22,38,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
SANHJRZU8,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,July,2026-07-01,42.0,52.0,+10.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANWMGZH0,Security,Security Operations,Tier 4 ➔ Tier 3,July,2026-07-02,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANJLIJL0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-04,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGSYSL0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-04,25.0,40.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANGSYSL0,Data & Analytics,Dataproc,Tier 4 ➔ Tier 3,July,2026-07-04,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANICHVG6,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-07,16.0,21.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Application Modernization,Apigee API Management,Tier 2 ➔ Tier 1,July,2026-07-08,46.0,53.0,+7.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANLAYKG6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-08,6.0,21.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Databases,Cloud SQL,Tier 3 ➔ Tier 2,July,2026-07-08,21.0,43.0,+22.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-08,16.0,23.0,+7.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANJLIJL0,Workspace,Workspace,Tier 3 ➔ Tier 2,July,2026-07-08,30.0,45.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-09,23.0,38.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANLRZLY2,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,July,2026-07-09,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Infrastructure Modernization,Oracle,Tier 3 ➔ Tier 2,July,2026-07-09,23.0,38.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Security,Cloud Security,Tier 3 ➔ Tier 2,July,2026-07-09,28.0,38.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Security,Security Operations,Tier 4 ➔ Tier 3,July,2026-07-09,18.0,33.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Security,Security Command Center,Tier 3 ➔ Tier 2,July,2026-07-09,33.0,38.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Application Modernization,Cloud Run,Tier 3 ➔ Tier 2,July,2026-07-11,33.0,38.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTNNCA8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-11,24.0,44.0,+20.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANCBGGB1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-11,29.0,49.0,+20.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANDMXUA9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-11,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANPSBWY1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-11,27.0,47.0,+20.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMSFHF3,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,July,2026-07-11,33.0,38.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANHJRZU8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-12,32.0,37.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANPSBWY1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,July,2026-07-12,47.0,57.0,+10.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANPSBWY1,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,July,2026-07-12,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANJCIZR9,Security,Security Command Center,Tier 4 ➔ Tier 3,July,2026-07-12,18.0,33.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANHJRZU8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,July,2026-07-14,47.0,52.0,+5.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANDRDTF0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-15,14.0,24.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANRSTQT3,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-15,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANPSBWY1,Databases,Cloud SQL,Tier 4 ➔ Tier 3,July,2026-07-15,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLAYKG6,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-17,11.0,21.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMNWEW1,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,July,2026-07-17,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMNWEW1,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,July,2026-07-17,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLAYKG6,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-18,21.0,41.0,+20.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANGRVOS0,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-18,9.0,34.0,+25.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGRVOS0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-20,29.0,44.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANGRVOS0,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-20,34.0,44.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANVDLXI0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-21,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANVDLXI0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,July,2026-07-22,39.0,54.0,+15.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANPSBWY1,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-22,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANDMXUA9,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,July,2026-07-23,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANVDLXI0,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-23,19.0,34.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANVDLXI0,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-24,34.0,49.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANVDLXI0,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-24,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANTRVYZ8,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-30,14.0,29.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLRZLY2,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-30,5.0,20.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGOQAO8,Data & Analytics,Dataflow,Tier 3 ➔ Tier 2,July,2026-07-30,34.0,44.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTRVYZ8,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,July,2026-07-31,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANTRVYZ8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-31,14.0,34.0,+20.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMNWEW1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-31,17.0,32.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANJBFBI2,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-31,19.0,29.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANTRVYZ8,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-31,29.0,39.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANLRZLY2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-31,5.0,20.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-01,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGOQAO8,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-01,19.0,34.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANYSFHX9,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-01,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMMUWS3,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-03,9.0,24.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMMUWS3,Application Modernization,Google Kubernetes Engine,Tier 3 ➔ Tier 2,August,2026-08-04,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTRVYZ8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-04,34.0,44.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMMUWS3,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-04,24.0,39.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANLAYKG6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-04,26.0,36.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANGOQAO8,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,August,2026-08-04,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGOQAO8,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-04,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMMUWS3,Databases,Cloud SQL,Tier 4 ➔ Tier 3,August,2026-08-04,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMMUWS3,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,August,2026-08-04,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGOQAO8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-05,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-05,28.0,43.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANLAYKG6,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-05,41.0,51.0,+10.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANJBFBI2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-05,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-07,43.0,53.0,+10.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,August,2026-08-07,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANANEXU6,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-07,5.0,25.0,+20.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Infrastructure Modernization,Google Distributed Cloud,Tier 4 ➔ Tier 3,August,2026-08-07,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANRSTQT3,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,August,2026-08-07,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANRSTQT3,Security,Cloud Security,Tier 4 ➔ Tier 3,August,2026-08-07,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Security,Security Command Center,Tier 4 ➔ Tier 3,August,2026-08-07,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Workspace,Workspace,Tier 4 ➔ Tier 3,August,2026-08-07,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANEVBDK8,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,August,2026-08-08,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANEVBDK8,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,August,2026-08-08,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLAYKG6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,August,2026-08-08,46.0,51.0,+5.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANGOQAO8,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,August,2026-08-08,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANEVBDK8,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,August,2026-08-08,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANRVLQF0,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,August,2026-08-08,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANEVBDK8,Security,Cloud Security,Tier 4 ➔ Tier 3,August,2026-08-08,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANÉLVRJ3,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-10,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANÉLVRJ3,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,August,2026-08-10,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANÉLVRJ3,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-10,40.0,50.0,+10.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANGOQAO8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-11,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTNNCA8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,August,2026-08-12,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANTNNCA8,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-12,29.0,39.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTNNCA8,Data & Analytics,Looker,Tier 4 ➔ Tier 3,August,2026-08-12,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANTNNCA8,Databases,Cloud SQL,Tier 3 ➔ Tier 2,August,2026-08-12,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTNNCA8,Security,Cloud Security,Tier 4 ➔ Tier 3,August,2026-08-12,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLRZLY2,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-16,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANEVBDK8,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-16,10.0,30.0,+20.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLRZLY2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-16,25.0,35.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-19,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANCBGGB1,Infrastructure Modernization,SAP on Google Cloud,Tier 4 ➔ Tier 3,August,2026-08-19,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANANEXU6,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-20,30.0,40.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANANEXU6,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,August,2026-08-20,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANANEXU6,Infrastructure Modernization,Google Cloud VMware Engine,Tier 4 ➔ Tier 3,August,2026-08-20,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANANEXU6,Security,Security Command Center,Tier 3 ➔ Tier 2,August,2026-08-20,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-21,33.0,38.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANGSYSL0,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-25,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-25,48.0,53.0,+5.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANANEXU6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-25,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMCGQO6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,August,2026-08-25,43.0,53.0,+10.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANJMGHK7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-27,30.0,40.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANJBFBI2,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,August,2026-08-27,44.0,54.0,+10.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANCDLGM3,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-28,15.0,25.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGSYSL0,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-30,30.0,45.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANMFXVU7,Artificial Intelligence,GECX - CCaaS,Tier 4 ➔ Tier 3,September,2026-09-01,16.0,21.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANMFXVU7,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,16.0,21.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLHSND7,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANLHSND7,Artificial Intelligence,GECX - CCaaS,Tier 4 ➔ Tier 3,September,2026-09-01,17.0,27.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANCJSZQ1,Artificial Intelligence,GECX - CCaaS,Tier 4 ➔ Tier 3,September,2026-09-01,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANCMNCB9,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,19.0,29.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANÉLVRJ3,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,September,2026-09-03,25.0,40.0,+15.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANFUANN5,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-03,5.0,25.0,+20.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANGSYSL0,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,September,2026-09-03,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTNNCA8,Workspace,Workspace,Tier 4 ➔ Tier 3,September,2026-09-03,14.0,24.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANANEXU6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,September,2026-09-04,30.0,40.0,+10.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANTSEWD1,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-06,10.0,26.0,+16.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANDMXUA9,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-06,19.0,29.0,+10.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANWMGZH0,Infrastructure Modernization,Google Cloud Networking,Tier 2 ➔ Tier 1,September,2026-09-06,45.0,50.0,+5.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANEVBDK8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,September,2026-09-08,15.0,30.0,+15.0,Tier 4,Tier 3,P20220602085,Tier Upgrade,Promoted
SANPSBWY1,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,September,2026-09-09,32.0,37.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANGSYSL0,Data & Analytics,Dataflow,Tier 3 ➔ Tier 2,September,2026-09-10,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
SANJODZV7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,September,2026-09-15,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602085,Tier Upgrade,Promoted
SANYSFHX9,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,September,2026-09-15,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602085,Tier Upgrade,Promoted
